"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Floresta","2563.4793016175704","2539.1061809937723","2534.429344909777","2524.4162338135843","2520.725028845302","2551.6653890381886","2620.024809997714","2600.741447387828","2638.3269816285756","2670.825090283363","2700.5321793214257","2657.279678692779","2677.051146069455","2640.860346087781","2556.6570276063635","2499.1241090516746","2485.9089080629074","2477.0432962831246","2519.634033423012","2517.5005702577346","2507.654308276539","2511.841750073422","2508.560814715754","2456.1237063355866","2413.5346295777185","2495.7677547120284","2485.8376470887247","2447.267316339183","2450.0563767273693","2450.4661089295164","2427.323210699542","2437.17167603157","2427.1592096863637","2418.2964571289826","2419.118957696608","2388.837814984221","2391.5453048157606","2399.5097450135167","2373.6647446839047"
"1.1. Formação Florestal","2563.4793016175704","2539.1061809937723","2534.429344909777","2524.4162338135843","2520.725028845302","2551.6653890381886","2620.024809997714","2600.741447387828","2638.3269816285756","2670.825090283363","2700.5321793214257","2657.279678692779","2677.051146069455","2640.860346087781","2556.6570276063635","2499.1241090516746","2485.9089080629074","2477.0432962831246","2519.634033423012","2517.5005702577346","2507.654308276539","2511.841750073422","2508.560814715754","2456.1237063355866","2413.5346295777185","2495.7677547120284","2485.8376470887247","2447.267316339183","2450.0563767273693","2450.4661089295164","2427.323210699542","2437.17167603157","2427.1592096863637","2418.2964571289826","2419.118957696608","2388.837814984221","2391.5453048157606","2399.5097450135167","2373.6647446839047"
"1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Vegetação Arbustiva e Herbácea","10.011769879150394","7.9601854370117175","3.4465845764160155","2.6258622375488274","1.9693803894042965","1.1488226562500001","1.1488226562500001","1.1488226562500001","1.1488226562500001","0.65646201171875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","1.3128993652343748","1.3128993652343748","1.3128993652343748","1.3128993652343748","1.3128993652343748","0.574401904296875","0.574401904296875","0.574401904296875","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437"
"2.1. Campo Alagado e Área Pantanosa","0.7384974609374998","0.7384974609374998","0.7384974609374998","0.7384974609374998","0.7384974609374998","","","","","","","","","","","","0.7384974609374998","0.7384974609374998","0.7384974609374998","0.7384974609374998","0.7384974609374998","","","","","","","","","","","","","","","","","",""
"2.2. Formação Campestre","8.69887051391602","6.647286071777343","2.1336852111816405","1.3129628723144526","0.6564810241699218","0.574420751953125","0.574420751953125","0.574420751953125","0.574420751953125","0.082060107421875","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
